f,exp,phase
4002000000.0,74957030.54513036,61632782.72341548
4009000000.0,74990185.66970862,61648087.287724964
4016000000.0,75025883.36229773,61663519.66281422
4023000000.0,75062559.24237615,61679078.816444814
4030000000.0,75100149.30600064,61694763.7258005
4037000000.0,75136227.97754015,61710573.377378725
4044000000.0,75171675.15178305,61726506.76688301
4051000000.0,75206344.08122754,61742562.89911708
4058000000.0,75238300.35870366,61758740.78788067
4065000000.0,75266809.44003887,61775039.455866314
4072000000.0,75293200.61326513,61791457.934558235
4079000000.0,75318343.12453718,61807995.264132015
4086000000.0,75342802.5176263,61824650.49335595
4093000000.0,75366835.7867429,61841422.67949379
4100000000.0,75392395.79370388,61858310.888208866
4107000000.0,75419043.38118213,61875314.19346918
4114000000.0,75449210.30493958,61892431.67745434
4121000000.0,75482570.68191683,61909662.43046328
4128000000.0,75518839.21751791,61927005.550823726
4135000000.0,75559852.05820808,61944460.144802235
4142000000.0,75602552.82822372,61962025.326516196
4149000000.0,75646186.37449917,61979700.21784653
4156000000.0,75691008.93902029,61997483.948351756
4163000000.0,75736160.62446715,62015375.6551831
4170000000.0,75779803.72389895,62033374.48300105
4177000000.0,75823526.99267791,62051479.583892554
4184000000.0,75864849.5249118,62069690.117289856
4191000000.0,75903821.59563148,62088005.24988983
4198000000.0,75941308.49763514,62106424.155575074
4205000000.0,75977653.50017875,62124946.0153354
4212000000.0,76012709.99231008,62143570.017190844
4219000000.0,76045886.80049653,62162295.3561155
4226000000.0,76078253.8174215,62181121.233962245
4233000000.0,76110939.3670192,62200046.859388776
4240000000.0,76144639.2780699,62219071.4477842
4247000000.0,76177155.79506248,62238194.22119718
4254000000.0,76209737.42899036,62257414.408264264
4261000000.0,76243166.02432579,62276731.24413985
4268000000.0,76273941.23020302,62296143.97042656
4275000000.0,76304678.61909752,62315651.83510689
4282000000.0,76333672.37529401,62335254.092475526
4289000000.0,76361506.13358499,62354950.00307245
4296000000.0,76386908.76154426,62374738.83361743
4303000000.0,76411142.5950046,62394619.85694442
4310000000.0,76434755.09148796,62414592.35193792
4317000000.0,76457587.7570524,62434655.60346926
4324000000.0,76482848.5715284,62454808.90233415
4331000000.0,76509961.19948353,62475051.54519078
4338000000.0,76538453.52495995,62495382.834499106
4345000000.0,76570073.25351177,62515802.07846031
4352000000.0,76603265.45799102,62536308.59095768
4359000000.0,76636946.35467665,62556901.691497594
4366000000.0,76673077.94854064,62577580.705151916
4373000000.0,76708210.9596089,62598344.96250048
4380000000.0,76743065.48936489,62619193.799574815
4387000000.0,76777886.73684837,62640126.557802096
4394000000.0,76810315.65507963,62661142.58395034
4401000000.0,76841029.7617414,62682241.23007381
4408000000.0,76869433.92736457,62703421.85345936
4415000000.0,76896235.2728826,62724683.81657324
4422000000.0,76919976.06634362,62746026.48700898
4429000000.0,76943009.00491513,62767449.23743538
4436000000.0,76966816.64992014,62788951.445545346
4443000000.0,76991520.98783323,62810532.49400575
4450000000.0,77017608.71987876,62832191.770407245
4457000000.0,77046492.06388895,62853928.66721502
4464000000.0,77078156.52657071,62875742.58172034
4471000000.0,77113475.8565499,62897632.915992305
4478000000.0,77151183.52252102,62919599.07683055
4485000000.0,77192712.34094709,62941640.47571822
4492000000.0,77234433.40977773,62963756.52877552
4499000000.0,77278389.66877653,62985946.65671431
4506000000.0,77320473.65809767,63008210.28479265
4513000000.0,77364805.55235851,63030546.842769966
4520000000.0,77405617.56147197,63052955.76486332
4527000000.0,77446128.1583586,63075436.48970348
4534000000.0,77485337.51906158,63097988.460291944
4541000000.0,77521797.52480131,63120611.123958535
4548000000.0,77556442.024086,63143303.93231893
4555000000.0,77591241.12385009,63166066.34123358
4562000000.0,77623979.18830046,63188897.81076627
4569000000.0,77657164.2699661,63211797.80514376
4576000000.0,77688486.50111516,63234765.79271558
4583000000.0,77720044.50155436,63257801.24591434
4590000000.0,77751871.39701115,63280903.641216815
4597000000.0,77785366.75260456,63304072.45910494
4604000000.0,77818840.00675394,63327307.18402774
4611000000.0,77852230.8709827,63350607.304363474
4618000000.0,77885247.33182105,63373972.31238229
4625000000.0,77916778.04847462,63397401.70420923
4632000000.0,77946820.67165516,63420894.97978792
4639000000.0,77974497.81366502,63444451.64284417
4646000000.0,78000946.15737721,63468071.20085065
4653000000.0,78025677.82100886,63491753.164991334
4660000000.0,78048027.36572637,63515497.05012698
4667000000.0,78070238.51171537,63539302.374760486
4674000000.0,78090831.2332018,63563168.66100281
4681000000.0,78111397.88799693,63587095.43453939
4688000000.0,78133076.78998676,63611082.22459691
4695000000.0,78156172.72677001,63635128.56391037
4702000000.0,78178276.73573421,63659233.98869039
4709000000.0,78203738.12016414,63683398.03859146
4716000000.0,78229203.36886978,63707620.256679714
4723000000.0,78257825.35716558,63731900.189401776
4730000000.0,78286679.92110232,63756237.386553615
4737000000.0,78319402.70072393,63780631.40124981
4744000000.0,78354315.7424809,63805081.7898931
4751000000.0,78389477.60094382,63829588.11214449
4758000000.0,78427005.31756307,63854149.9308935
4765000000.0,78465829.47037111,63878766.812228605
4772000000.0,78505157.42220764,63903438.32540859
4779000000.0,78544561.81700385,63928164.0428333
4786000000.0,78582187.77665532,63952943.540015765
4793000000.0,78618786.02965117,63977776.3955538
4800000000.0,78654243.0574907,64002662.19110221
4807000000.0,78689020.27458018,64027600.511345424
4814000000.0,78722178.6543846,64052590.9439704
4821000000.0,78752826.5544849,64077633.07963952
4828000000.0,78782809.5855016,64102726.51196421
4835000000.0,78809847.97070691,64127870.837478526
4842000000.0,78836116.77898718,64153065.65561333
4849000000.0,78859935.78252086,64178310.56867029
4856000000.0,78883365.30409078,64203605.18179669
4863000000.0,78907482.70878084,64228949.10296021
4870000000.0,78931427.86190161,64254341.94292391
4877000000.0,78957597.09361762,64279783.315221734
4884000000.0,78984068.81895323,64305272.83613418
4891000000.0,79012627.92723787,64330810.12466414
4898000000.0,79045457.24689591,64356394.80251293
4905000000.0,79080412.50692236,64382026.494056955
4912000000.0,79117770.12018736,64407704.82632435
4919000000.0,79158502.35114484,64433429.428971685
4926000000.0,79198074.2384213,64459199.934261344
4933000000.0,79239925.54675962,64485015.977038875
4940000000.0,79281514.93760675,64510877.19471056
4947000000.0,79324407.66929409,64536783.22722141
4954000000.0,79365250.91880156,64562733.71703325
4961000000.0,79403074.07908493,64588728.30910305
4968000000.0,79440315.86870146,64614766.650861524
4975000000.0,79474154.37835552,64640848.392191835
4982000000.0,79506407.1276293,64666973.185408875
4989000000.0,79536775.41739158,64693140.68523822
4996000000.0,79565086.41795383,64719350.54879564
5003000000.0,79591857.96921931,64745602.43556702
5010000000.0,79620459.20142779,64771896.00738803
5017000000.0,79647261.58620861,64798230.92842413
5024000000.0,79674972.4832671,64824606.86515118
5031000000.0,79702181.9992607,64851023.48633564
5038000000.0,79730565.38508743,64877480.4630155
5045000000.0,79756790.5645366,64903977.46848107
5052000000.0,79783637.54341184,64930514.17825602
5059000000.0,79808933.39808464,64957090.270078935
5066000000.0,79834665.93998821,64983705.423884444
5073000000.0,79858301.62972717,65010359.32178522
5080000000.0,79881116.6650709,65037051.64805366
5087000000.0,79902344.41305356,65063782.08910392
5094000000.0,79921950.67598684,65090550.33347436
5101000000.0,79942210.6278047,65117356.07180965
5108000000.0,79962364.29289788,65144198.996843554
5115000000.0,79980502.06479277,65171078.80338169
5122000000.0,79999970.83952291,65197995.18828443
5129000000.0,80020830.73048161,65224947.850449935
5136000000.0,80041787.13537073,65251936.490797654
5143000000.0,80065049.62045874,65278960.81225152
5150000000.0,80089384.28634334,65306020.51972366
5157000000.0,80115022.48590837,65333115.32009836
5164000000.0,80140557.40138678,65360244.92221564
5171000000.0,80165582.70678301,65387409.03685564
5178000000.0,80191163.03134055,65414607.3767228
5185000000.0,80216641.45959309,65441839.65643027
5192000000.0,80242438.22217153,65469105.59248442
5199000000.0,80268947.15746798,65496404.90326966
5206000000.0,80295260.22649956,65523737.30903324
5213000000.0,80324471.34501222,65551102.53187037
5220000000.0,80355071.75444795,65578500.295709126
5227000000.0,80386291.34319155,65605930.32629616
5234000000.0,80420960.8794106,65633392.35118182
5241000000.0,80456860.58284089,65660886.099706
5248000000.0,80496045.34052669,65688411.302983575
5255000000.0,80535929.74305399,65715967.69389074
5262000000.0,80576636.54956257,65743555.00705042
5269000000.0,80617813.62284657,65771172.97881899
5276000000.0,80660783.32334769,65798821.3472723
5283000000.0,80700742.33066903,65826499.85219195
5290000000.0,80738831.709184,65854208.23505218
5297000000.0,80774314.2325358,65881946.23900639
5304000000.0,80808035.64226674,65909713.608873785
5311000000.0,80840727.37149988,65937510.09112655
5318000000.0,80869384.05891393,65965335.43387692
5325000000.0,80896001.11623438,65993189.386864
5332000000.0,80921934.50803654,66021071.7014416
5339000000.0,80948301.43471675,66048982.13056518
5346000000.0,80973947.41132037,66076920.42877979
5353000000.0,81001088.25288175,66104886.35220744
5360000000.0,81029458.07251027,66132879.658535026
5367000000.0,81057456.46963975,66160900.10700219
5374000000.0,81087934.05013478,66188947.45838934
5381000000.0,81116676.82872167,66217021.47500581
5388000000.0,81148059.34288123,66245121.920678
5395000000.0,81180003.48509228,66273248.560737796
5402000000.0,81211620.05119053,66301401.16201101
5409000000.0,81243267.46622215,66329579.49280601
5416000000.0,81274054.0842105,66357783.32290219
5423000000.0,81304331.41137281,66386012.42353903
5430000000.0,81332990.16272105,66414266.567404725
5437000000.0,81362474.61905241,66442545.52862532
5444000000.0,81391619.95348942,66470849.08275371
5451000000.0,81419972.40594973,66499177.00675891
5458000000.0,81448336.69551447,66527529.07901536
5465000000.0,81476371.46580204,66555905.079292044
5472000000.0,81503219.39684704,66584304.78874244
5479000000.0,81530466.49676675,66612727.98989367
5486000000.0,81557757.73670661,66641174.46663642
5493000000.0,81583803.8451141,66669644.004214615
5500000000.0,81610158.77938452,66698136.38921534
5507000000.0,81635811.11498813,66726651.409558795
5514000000.0,81662154.35992078,66755188.8544882
5521000000.0,81688416.59618977,66783748.51456019
5528000000.0,81713395.65964833,66812330.18163489
5535000000.0,81740629.95618841,66840933.64886615
5542000000.0,81768919.3176708,66869558.71069217
5549000000.0,81797533.12412891,66898205.16282584
5556000000.0,81827738.57303418,66926872.802245334
5563000000.0,81860384.19287772,66955561.42718485
5570000000.0,81893941.67890328,66984270.83712517
5577000000.0,81927814.78934543,67013000.832784794
5584000000.0,81963785.36589056,67041751.2161106
5591000000.0,81999089.42627425,67070521.79026895
5598000000.0,82034376.80147304,67099312.35963668
5605000000.0,82067810.22736345,67128122.72979233
5612000000.0,82100422.94503362,67156952.7075074
5619000000.0,82132105.72027114,67185802.10073759
5626000000.0,82161309.69192083,67214670.71861419
5633000000.0,82189176.61497885,67243558.37143567
5640000000.0,82215708.48627193,67272464.87065893
5647000000.0,82241862.85702801,67301390.02889141
5654000000.0,82268504.584213,67330333.65988214
5661000000.0,82295770.65260792,67359295.57851402
5668000000.0,82321898.1196972,67388275.60079554
5675000000.0,82350177.08443782,67417273.54385236
5682000000.0,82379007.45542943,67446289.22591984
5689000000.0,82408541.57699718,67475322.46633469
5696000000.0,82438540.7214957,67504373.08552702
5703000000.0,82469257.54285198,67533440.90501292
5710000000.0,82501463.7386979,67562525.74738638
5717000000.0,82532248.20012894,67591627.43631178
5724000000.0,82562792.29219636,67620745.7965161
5731000000.0,82592339.82281718,67649880.65378161
5738000000.0,82619642.73200548,67679031.83493821
5745000000.0,82645779.16102801,67708199.16785608
5752000000.0,82669751.94410433,67737382.4814383
5759000000.0,82691287.41783893,67766581.60561353
5766000000.0,82712136.38806213,67795796.37132908
5773000000.0,82732267.4513282,67825026.61054313
5780000000.0,82751649.2537207,67854272.15621822
5787000000.0,82771291.35467954,67883532.84231392
5794000000.0,82790418.33829491,67912808.50377993
5801000000.0,82809879.42005405,67942098.97654907
5808000000.0,82828940.98067306,67971404.09753053
5815000000.0,82847890.87611325,68000723.704603
5822000000.0,82867368.52317868,68030057.63660793
5829000000.0,82887599.59422752,68059405.73334278
5836000000.0,82909568.38512519,68088767.83555454
5843000000.0,82932922.35895805,68118143.78493305
5850000000.0,82956384.65269454,68147533.42410436
5857000000.0,82980361.08090732,68176936.59662454
5864000000.0,83006456.88378522,68206353.14697298
5871000000.0,83033897.07318449,68235782.92054626
5878000000.0,83058847.34799288,68265225.76365168
5885000000.0,83085486.92652261,68294681.52350107
5892000000.0,83111516.40168503,68324150.04820466
5899000000.0,83138545.36061579,68353631.18676467
5906000000.0,83165300.31976856,68383124.78906967
5913000000.0,83192149.17846629,68412630.705888
5920000000.0,83218664.6899277,68442148.78886217
5927000000.0,83244816.63461348,68471678.89050274
5934000000.0,83270715.83053994,68501220.86418237
5941000000.0,83296550.55003649,68530774.56413022
5948000000.0,83321326.91197085,68560339.84542575
5955000000.0,83346087.00705105,68589916.56399342
5962000000.0,83371664.37231915,68619504.5765966
5969000000.0,83396731.77397324,68649103.74083209
5976000000.0,83423272.96180555,68678713.91512455
5983000000.0,83451138.56956945,68708334.95872068
5990000000.0,83481064.36576393,68737966.73168413
5997000000.0,83511096.31808075,68767609.09488957
6004000000.0,83541968.4171495,68797261.91001748
6011000000.0,83574033.0159027,68826925.03954878
6018000000.0,83604841.42381413,68856598.34675951
6025000000.0,83635171.25367793,68886281.69571528
6032000000.0,83663823.64855629,68915974.95126636
6039000000.0,83691207.8453178,68945677.97904213
6046000000.0,83718606.06099026,68975390.6454462
6053000000.0,83743498.05995949,69005112.81765108
6060000000.0,83766644.51227663,69034844.36359319
6067000000.0,83789336.60911973,69064585.1519676
6074000000.0,83813157.09281266,69094335.0522235
6081000000.0,83836285.76998039,69124093.9345587
6088000000.0,83858398.08679843,69153861.66991495
6095000000.0,83881994.39422859,69183638.12997308
6102000000.0,83907695.49021183,69213423.18714795
6109000000.0,83935711.36586228,69243216.71458392
6116000000.0,83965692.07175803,69273018.58614984
6123000000.0,83996873.37503116,69302828.67643452
6130000000.0,84030587.21263763,69332646.86074175
6137000000.0,84064532.39457405,69362473.01508585
6144000000.0,84100611.30991428,69392307.01618701
6151000000.0,84135771.0770137,69422148.74146672
6158000000.0,84169807.37693992,69451998.06904314
6165000000.0,84201465.74319015,69481854.8777266
6172000000.0,84232325.40600687,69511719.04701513
6179000000.0,84259580.05049323,69541590.4570901
6186000000.0,84286226.65882093,69571468.98881158
6193000000.0,84310334.81152627,69601354.52371442
6200000000.0,84333468.20076239,69631246.94400316
6207000000.0,84356168.14025547,69661146.13254853
6214000000.0,84381631.1715358,69691051.97288269
6221000000.0,84406599.76000667,69720964.34919499
6228000000.0,84432238.01792865,69750883.14632803
6235000000.0,84458723.69763316,69780808.24977322
6242000000.0,84486540.90447296,69810739.54566683
6249000000.0,84514648.07327534,69840676.92078573
6256000000.0,84541339.98506372,69870620.26254335
6263000000.0,84567181.07214035,69900569.45898566
6270000000.0,84591890.89744268,69930524.39878725
6277000000.0,84615915.86087483,69960484.97124699
6284000000.0,84638516.56670886,69990451.06628457
6291000000.0,84657744.11839135,70020422.57443617
6298000000.0,84676756.77830048,70050399.38685077
6305000000.0,84694896.78510854,70080381.39528622
6312000000.0,84712877.53157037,70110368.49210538
6319000000.0,84730714.93416795,70140360.57027231
6326000000.0,84751837.89476597,70170357.52334866
6333000000.0,84774395.93568623,70200359.2454896
6340000000.0,84799487.44204795,70230365.63144043
6347000000.0,84824292.68514222,70260376.57653266
6354000000.0,84853984.86901905,70290391.97668043
6361000000.0,84884262.26906247,70320411.72837688
6368000000.0,84914877.43628679,70350435.7286904
6375000000.0,84944866.32566895,70380463.87526143
6382000000.0,84974240.7931318,70410496.06629841
6389000000.0,85000930.27224797,70440532.20057452
6396000000.0,85025459.48541078,70470572.17742424
6403000000.0,85047661.06320995,70500615.8967397
6410000000.0,85066430.7929736,70530663.25896731
6417000000.0,85084800.7652847,70560714.16510427
6424000000.0,85102945.90689546,70590768.51669529
6431000000.0,85120659.30401687,70620826.21582915
6438000000.0,85138731.91149132,70650887.16513538
6445000000.0,85158612.14246021,70680951.26778083
6452000000.0,85180328.14259133,70711018.42746647
6459000000.0,85204761.8835911,70741088.5484241
6466000000.0,85229657.84108552,70771161.53541315
6473000000.0,85258194.12715043,70801237.29371731
6480000000.0,85287188.42018463,70831315.72914147
6487000000.0,85317319.98763624,70861396.7480084
6494000000.0,85346784.78138167,70891480.2571558
6501000000.0,85374092.28526029,70921566.16393292
6508000000.0,85402072.44021907,70951654.37619767
6515000000.0,85428033.52830757,70981744.80231333
6522000000.0,85453735.85148415,71011837.35114576
6529000000.0,85477818.75637493,71041931.9320599
6536000000.0,85503411.94125311,71072028.45491739
6543000000.0,85528661.47280686,71102126.83007295
6550000000.0,85553946.77639014,71132226.96837181
6557000000.0,85579412.64789821,71162328.7811466
6564000000.0,85607644.02534354,71192432.18021435
6571000000.0,85636193.65484102,71222537.07787378
6578000000.0,85665805.3023672,71252643.38690223
6585000000.0,85696374.65519968,71282751.02055283
